,tokenId,marketplace,block,token,price,rarity
2235,5393,seaport,17115320,ETH,54.15,438029046.5533012
2236,7593,blur,17113415,ETH,54.725,23809309591.6224
2237,6334,blur,17113368,ETH,57.2125,373269449.466144
2241,3136,blur,17112752,,50.5062,23217535822.8
2242,551,blur,17112456,ETH,51.98875,249769318.97796482
2248,4752,blur,17111206,ETH,52.138,291714466.92695993
2251,9475,blur,17110783,ETH,51.6555,18464332.73487345
2254,6311,seaport,17110666,ETH,52.2405,62012183.37267798
2257,6910,seaport,17110310,ETH,53.625,12617609.498207998
2258,2859,x2y2,17110139,ETH,50.95,3683378041.247999
2265,4023,blur,17109791,ETH,50.184815,39977962.62077912
2267,8240,seaport,17109338,ETH,55.07775,142642734.47586358
2268,9590,seaport,17109123,ETH,53.22255,137661339.39893278
2269,4530,seaport,17108927,ETH,53.075,9390192.786121516
2270,4650,blur,17108398,ETH,53.73,29678593057.344
2271,4208,blur,17108331,ETH,54.724005,241782022.95231605
2272,6125,blur,17108290,ETH,51.69025,1217688685.6176002
2273,9748,seaport,17107389,ETH,53.35,5829978262.767771
2276,1421,x2y2,17107056,ETH,63.0,776752790.6742913
2277,1484,seaport,17106953,ETH,52.62555,1397870346.5593572
2285,5397,blur,17105199,ETH,50.1977301,8453002943.363999
2286,5266,seaport,17105135,ETH,49.725,4904851581.63
2287,1467,seaport,17105120,ETH,0.4975,761913222.3639553
2289,1703,seaport,17104544,ETH,55.1,624007699.076916
2292,5432,seaport,17104466,ETH,14.925,507801922.46783984
2294,1007,x2y2,17104271,ETH,49.9,4640835741.696
2300,9454,seaport,17104102,ETH,53.04,663686549.5216601
2302,9211,seaport,17103811,ETH,50.63555,170078050.90214399
2306,583,blur,17103273,ETH,49.10325,381022812.70819914
2307,3162,seaport,17103077,ETH,9.95,1455308588909.9998
2309,4429,blur,17103017,ETH,48.60575,399436715.2757058
2313,9520,blur,17102887,ETH,52.2375,29212040.438812528
2315,5839,blur,17102570,ETH,78.38805,28722009.598369915
2319,9525,blur,17102459,ETH,48.755,31612708.87999057
2320,6765,blur,17102417,ETH,52.4365,95878721.02635087
2324,5087,blur,17102227,ETH,51.9589,571169887.3157222
2325,4006,x2y2,17102085,ETH,54.0,1016224463.4922597
2326,568,x2y2,17101725,ETH,55.0,13201295869.440002
2333,9979,blur,17101237,ETH,52.735,628659601.0695
2335,124,blur,17101009,ETH,49.10325,98830844.46775801
2339,5093,seaport,17100925,ETH,74.5255,35561926400.0
2340,2122,blur,17100769,ETH,55.72,4515707800.296
2341,8523,blur,17100420,ETH,49.75,291784797.1584
2342,6162,blur,17100333,ETH,48.755,2642234563.76544
